dataset,model,graph_mode,seeding,technique,seed,n_parameters,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
BasicMotions,gconv_gru,adaptive_nosvd_knn,noSVD,knn,789,105769,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_gru,adaptive_nosvd_knn,noSVD,knn,1024,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_binary,noSVD,binary,42,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_binary,noSVD,binary,123,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_binary,noSVD,binary,456,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_binary,noSVD,binary,789,138665,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,adaptive_nosvd_binary,noSVD,binary,1024,138665,0.95,0.949937343358396,0.949937343358396,0.9522727272727272,0.95
BasicMotions,gconv_lstm,adaptive_nosvd_correlation,noSVD,correlation,42,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_correlation,noSVD,correlation,123,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_correlation,noSVD,correlation,456,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_correlation,noSVD,correlation,789,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_correlation,noSVD,correlation,1024,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_dtw,noSVD,dtw,42,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_dtw,noSVD,dtw,123,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_dtw,noSVD,dtw,456,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_dtw,noSVD,dtw,789,138665,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,adaptive_nosvd_dtw,noSVD,dtw,1024,138665,0.95,0.949937343358396,0.949937343358396,0.9522727272727272,0.95
BasicMotions,gconv_lstm,adaptive_nosvd_knn,noSVD,knn,42,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_knn,noSVD,knn,123,138665,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,adaptive_nosvd_knn,noSVD,knn,456,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_knn,noSVD,knn,789,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_knn,noSVD,knn,1024,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_binary,noSVD,binary,42,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_binary,noSVD,binary,123,105770,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,hybrid_tgnn,adaptive_nosvd_binary,noSVD,binary,456,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_binary,noSVD,binary,789,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_binary,noSVD,binary,1024,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_correlation,noSVD,correlation,42,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_correlation,noSVD,correlation,123,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_correlation,noSVD,correlation,456,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_correlation,noSVD,correlation,789,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_correlation,noSVD,correlation,1024,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_dtw,noSVD,dtw,42,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_dtw,noSVD,dtw,123,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_dtw,noSVD,dtw,456,105770,1.0,1.0,1.0,1.0,1.0
