dataset,model,graph_mode,seed,n_folds,n_parameters,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,macro_precision_mean,macro_recall_mean,weighted_accuracy
DSA,a3tgcn,adaptive_random_predef_seed789,42,8,423734,0.8589912280701755,0.0615767449748603,0.8410934180797813,0.0698637986825028,0.8410934180797814,0.863949627351561,0.8589912280701755,0.8589912280701755
DSA,a3tgcn,adaptive,1024,8,423734,0.868311403508772,0.0268134145342271,0.8511022679480515,0.0346991452830909,0.8511022679480515,0.8916492257470516,0.868311403508772,0.8683114035087719
DSA,a3tgcn,adaptive,123,8,423734,0.8552631578947368,0.03918755950483,0.8340187961795296,0.0492696443421581,0.8340187961795296,0.8533836684427716,0.8552631578947368,0.8532581453634085
DSA,a3tgcn,adaptive,42,8,423734,0.8813596491228071,0.0528080921671854,0.8663113966644811,0.0618323731716644,0.8663113966644811,0.8938702790391809,0.881359649122807,0.8678362573099415
DSA,a3tgcn,adaptive,456,8,423734,0.8762061403508772,0.0500316103141284,0.8574375841066859,0.058836167099169,0.8574375841066858,0.8827613014322175,0.8762061403508772,0.8184210526315789
DSA,a3tgcn,adaptive,789,8,423734,0.8520833333333333,0.038333778701897,0.8269385750091887,0.0491569173848836,0.8269385750091887,0.8458937188227379,0.8520833333333333,0.8520833333333333
DSA,a3tgcn,predefined_coarse,1024,8,423574,0.8350877192982455,0.0509225448199999,0.8111656833137203,0.0558580139571803,0.8111656833137203,0.836034351305343,0.8350877192982457,0.8350877192982457
DSA,a3tgcn,predefined_coarse,123,8,423574,0.8385964912280701,0.0602938582134028,0.819682166640141,0.066399967563577,0.8196821666401409,0.8365557239058319,0.8385964912280701,0.8385964912280702
DSA,a3tgcn,predefined_coarse,42,8,423574,0.8491228070175438,0.0725290614746061,0.8302714211356086,0.079500833712731,0.8302714211356086,0.8410966122024777,0.8491228070175438,0.8491228070175438
DSA,a3tgcn,predefined_coarse,456,8,423574,0.8551535087719297,0.0536961729519817,0.8349364130504344,0.0610730460461512,0.8349364130504344,0.8597433645419452,0.8551535087719297,0.8551535087719299
DSA,a3tgcn,predefined_coarse,789,8,423574,0.806688596491228,0.0758504890389132,0.7786482270455306,0.0833946222999368,0.7786482270455305,0.8276695192496384,0.806688596491228,0.806688596491228
DSA,a3tgcn,predefined_correlation_mean,1024,8,422550,0.7606359649122807,0.0900207278164083,0.7330626125551962,0.1012280939440868,0.7330626125551962,0.7518112944289836,0.7606359649122807,0.7522556390977444
DSA,a3tgcn,predefined_correlation_mean,123,8,422550,0.7560307017543859,0.0623986366403196,0.7204435208043447,0.0722462813468228,0.7204435208043447,0.7429463123565241,0.756030701754386,0.7560307017543859
DSA,a3tgcn,predefined_correlation_mean,42,8,422550,0.7494517543859649,0.0793337735532142,0.7170849736063805,0.087426932928204,0.7170849736063802,0.7485503778464583,0.7494517543859649,0.7494517543859649
DSA,a3tgcn,predefined_correlation_mean,456,8,422550,0.7758771929824562,0.0493416179313166,0.7394415656648691,0.0574549704488133,0.739441565664869,0.7507272285582384,0.7758771929824562,0.7758771929824562
DSA,a3tgcn,predefined_correlation_mean,789,8,422550,0.7651315789473685,0.0515304215879364,0.7352467178508229,0.0582744750693287,0.7352467178508227,0.7641707276925895,0.7651315789473685,0.7655388471177945
DSA,a3tgcn,predefined_dtw,1024,8,422550,0.7690789473684211,0.065581176100038,0.7416945036148264,0.0715100251052755,0.7416945036148264,0.7752663600064174,0.769078947368421,0.7280701754385965
DSA,a3tgcn,predefined_dtw,123,8,422550,0.7588815789473684,0.0681794507164732,0.7335205562142113,0.0849422568037707,0.7335205562142113,0.7684382269310851,0.7588815789473684,0.7469298245614036
DSA,a3tgcn,predefined_dtw,42,8,422550,0.725328947368421,0.0905905498301493,0.6999567902464907,0.0960985084816148,0.6999567902464906,0.7428714462427624,0.7253289473684211,0.725328947368421
DSA,a3tgcn,predefined_dtw,456,8,422550,0.7554824561403509,0.0807610265744434,0.7277383351274241,0.0884937877156923,0.7277383351274241,0.7759290390847025,0.755482456140351,0.6096491228070176
DSA,a3tgcn,predefined_dtw,789,8,422550,0.7216008771929825,0.096994240622379,0.6940091275221636,0.109675744095701,0.6940091275221636,0.7339950044586999,0.7216008771929825,0.7216008771929825
DSA,a3tgcn,predefined_fine,1024,8,422550,0.6316885964912281,0.0605841915957805,0.5920781903223804,0.067440037355082,0.5920781903223804,0.6410227535531613,0.631688596491228,0.6316885964912281
DSA,a3tgcn,predefined_fine,123,8,422550,0.7117324561403509,0.0236188893729327,0.671287364414767,0.0340955831468341,0.671287364414767,0.6898052010536082,0.7117324561403509,0.7117324561403509
DSA,a3tgcn,predefined_fine,42,8,422550,0.6662280701754386,0.0790557248598599,0.6342065277567017,0.0835071677621867,0.6342065277567017,0.6763898210521754,0.6662280701754386,0.6662280701754386
DSA,a3tgcn,predefined_fine,456,8,422550,0.6609649122807018,0.0465387873258615,0.613009843611108,0.0516722939777162,0.613009843611108,0.6451013456560546,0.6609649122807018,0.6609649122807018
DSA,a3tgcn,predefined_fine,789,8,422550,0.6348684210526316,0.0822725068862652,0.5897235898715132,0.0959479973763335,0.5897235898715133,0.6288874635374184,0.6348684210526316,0.6348684210526315
DSA,a3tgcn,predefined_knn_correlation,1024,8,422550,0.7637061403508771,0.0580191007104152,0.7296474172158545,0.0731484263218246,0.7296474172158545,0.746427044128079,0.7637061403508771,0.7637061403508771
DSA,a3tgcn,predefined_knn_correlation,123,8,422550,0.7544956140350878,0.0707235142116819,0.7238981351843874,0.0784388348548331,0.7238981351843874,0.760134833282391,0.7544956140350878,0.7544956140350877
DSA,a3tgcn,predefined_knn_correlation,42,8,422550,0.7742324561403509,0.0810501365483299,0.7419285861944971,0.0922541287256183,0.7419285861944971,0.7846915281099831,0.7742324561403509,0.7742324561403509
DSA,a3tgcn,predefined_knn_correlation,456,8,422550,0.7528508771929825,0.0648763384371529,0.7197221266614213,0.0773474114364789,0.7197221266614213,0.7464665732688012,0.7528508771929825,0.7528508771929825
DSA,a3tgcn,predefined_knn_correlation,789,8,422550,0.7783991228070175,0.0615364124039931,0.753401167256013,0.0726834893339949,0.753401167256013,0.7739334068226962,0.7783991228070175,0.7783991228070175
DSA,a3tgcn,random_predef_seed1024,42,8,423574,0.862609649122807,0.0400660655460581,0.8418435165524264,0.0489524481079991,0.8418435165524263,0.871673647694928,0.862609649122807,0.862609649122807
DSA,a3tgcn,random_predef_seed123,42,8,423574,0.8362938596491227,0.0685403501979903,0.8148535369369034,0.0759824595239002,0.8148535369369034,0.8280717077423203,0.8362938596491227,0.8362938596491228
